type,latitude,longitude,altitude (m),name,desc,kml_folder
T,42.336263447,-83.050355009,183.0,,,
T,42.336275022,-83.050357734,183.0,,,
T,42.336287165,-83.050360900,183.1,,,
T,42.336301077,-83.050365408,183.1,,,
T,42.336311750,-83.050369912,183.1,,,
T,42.336321575,-83.050374913,183.1,,,
T,42.336333215,-83.050381147,183.1,,,
T,42.336344101,-83.050387273,183.1,,,
T,42.336355807,-83.050394307,183.1,,,
T,42.336366156,-83.050401225,183.1,,,
T,42.336377225,-83.050407901,183.1,,,
T,42.336388200,-83.050415143,183.1,,,
T,42.336397901,-83.050421022,183.1,,,
T,42.336408719,-83.050427875,183.1,,,
T,42.336418385,-83.050433842,183.1,,,
T,42.336428239,-83.050439923,183.1,,,
T,42.336438793,-83.050447026,183.2,,,
T,42.336450746,-83.050454518,183.2,,,
T,42.336461759,-83.050461285,183.2,,,
T,42.336470329,-83.050466530,183.2,,,
T,42.336479684,-83.050471832,183.2,,,
T,42.336488631,-83.050477326,183.2,,,
T,42.336497334,-83.050482615,183.2,,,
T,42.336507362,-83.050488989,183.2,,,
T,42.336516170,-83.050494373,183.2,,,
T,42.336523449,-83.050498925,183.2,,,
T,42.336532434,-83.050503950,183.2,,,
T,42.336542098,-83.050509496,183.3,,,
T,42.336550666,-83.050514698,183.3,,,
T,42.336558694,-83.050519533,183.3,,,
T,42.336570228,-83.050526591,183.3,,,
T,42.336579166,-83.050532067,183.3,,,
T,42.336590268,-83.050538914,183.3,,,
T,42.336600126,-83.050544970,183.4,,,
T,42.336608833,-83.050550178,183.4,,,
T,42.336618644,-83.050556012,183.4,,,
T,42.336629181,-83.050561866,183.4,,,
T,42.336639206,-83.050567922,183.4,,,
T,42.336648998,-83.050573844,183.4,,,
T,42.336658634,-83.050579774,183.5,,,
T,42.336666870,-83.050584801,183.5,,,
T,42.336676441,-83.050590629,183.5,,,
T,42.336686270,-83.050596666,183.5,,,
T,42.336695839,-83.050602564,183.5,,,
T,42.336706641,-83.050609167,183.5,,,
T,42.336716900,-83.050615585,183.5,,,
T,42.336724778,-83.050620183,183.5,,,
T,42.336733858,-83.050625662,183.6,,,
T,42.336741735,-83.050630316,183.6,,,
T,42.336751000,-83.050636101,183.6,,,
T,42.336762090,-83.050642845,183.6,,,
T,42.336773966,-83.050650427,183.6,,,
T,42.336784400,-83.050657084,183.6,,,
T,42.336795362,-83.050663838,183.6,,,
T,42.336804754,-83.050669448,183.6,,,
T,42.336816004,-83.050675655,183.6,,,
T,42.336826549,-83.050682282,183.6,,,
T,42.336837488,-83.050689204,183.6,,,
T,42.336847039,-83.050694767,183.6,,,
T,42.336858100,-83.050701727,183.6,,,
T,42.336868878,-83.050708303,183.6,,,
T,42.336878662,-83.050714058,183.6,,,
T,42.336890477,-83.050721248,183.6,,,
T,42.336902864,-83.050728856,183.6,,,
T,42.336916150,-83.050736040,183.6,,,
T,42.336929166,-83.050743836,183.6,,,
T,42.336941762,-83.050751610,183.6,,,
T,42.336956536,-83.050760701,183.6,,,
T,42.336969877,-83.050768913,183.6,,,
T,42.336982827,-83.050776648,183.7,,,
T,42.336997574,-83.050785536,183.7,,,
T,42.337011171,-83.050793585,183.7,,,
T,42.337025538,-83.050801314,183.7,,,
T,42.337039171,-83.050810053,183.7,,,
T,42.337055204,-83.050820493,183.7,,,
T,42.337074149,-83.050832165,183.7,,,
T,42.337089792,-83.050842654,183.7,,,
T,42.337101724,-83.050850131,183.7,,,
T,42.337121208,-83.050862224,183.7,,,
T,42.337136534,-83.050871229,183.7,,,
T,42.337155377,-83.050882530,183.7,,,
T,42.337177667,-83.050896337,183.7,,,
T,42.337194014,-83.050907246,183.7,,,
T,42.337216696,-83.050921301,183.7,,,
T,42.337232918,-83.050932107,183.7,,,
T,42.337249246,-83.050942924,183.7,,,
T,42.337265337,-83.050955021,183.7,,,
T,42.337285293,-83.050968599,183.7,,,
T,42.337302302,-83.050980940,183.7,,,
T,42.337319242,-83.050993969,183.7,,,
T,42.337334719,-83.051005741,183.7,,,
T,42.337349462,-83.051017038,183.7,,,
T,42.337367740,-83.051031015,183.7,,,
T,42.337384097,-83.051044272,183.7,,,
T,42.337401202,-83.051058464,183.7,,,
T,42.337417428,-83.051070863,183.8,,,
T,42.337434588,-83.051084144,183.8,,,
T,42.337448728,-83.051094310,183.8,,,
T,42.337464042,-83.051106124,183.8,,,
T,42.337480348,-83.051118149,183.8,,,
T,42.337496990,-83.051130994,183.8,,,
T,42.337513345,-83.051142929,183.9,,,
T,42.337529685,-83.051154705,183.9,,,
T,42.337547278,-83.051166962,183.9,,,
T,42.337561101,-83.051176297,183.9,,,
T,42.337577768,-83.051189279,183.9,,,
T,42.337594160,-83.051201791,183.9,,,
T,42.337612954,-83.051216204,183.9,,,
T,42.337631246,-83.051229265,183.9,,,
T,42.337649926,-83.051241927,183.9,,,
T,42.337666318,-83.051252884,183.9,,,
T,42.337682664,-83.051264883,183.9,,,
T,42.337698144,-83.051276229,183.9,,,
T,42.337716395,-83.051289788,183.8,,,
T,42.337732607,-83.051301892,183.8,,,
T,42.337745988,-83.051311823,183.8,,,
T,42.337760561,-83.051322109,183.8,,,
T,42.337778769,-83.051335479,183.8,,,
T,42.337794006,-83.051346388,183.8,,,
T,42.337809822,-83.051357663,183.7,,,
T,42.337830335,-83.051371990,183.7,,,
T,42.337850487,-83.051386563,183.7,,,
T,42.337875303,-83.051404034,183.7,,,
T,42.337892856,-83.051416488,183.7,,,
T,42.337910742,-83.051429549,183.7,,,
T,42.337927547,-83.051441312,183.7,,,
T,42.337946666,-83.051455104,183.6,,,
T,42.337965883,-83.051468855,183.6,,,
T,42.337983226,-83.051481325,183.6,,,
T,42.338002260,-83.051495238,183.6,,,
T,42.338020679,-83.051507219,183.6,,,
T,42.338040866,-83.051521747,183.5,,,
T,42.338057764,-83.051533872,183.5,,,
T,42.338075853,-83.051547034,183.5,,,
T,42.338093307,-83.051559216,183.5,,,
T,42.338116249,-83.051574940,183.5,,,
T,42.338138269,-83.051590677,183.4,,,
T,42.338162705,-83.051606647,183.4,,,
T,42.338184027,-83.051621593,183.4,,,
T,42.338206924,-83.051637319,183.4,,,
T,42.338226621,-83.051651429,183.4,,,
T,42.338242989,-83.051663918,183.4,,,
T,42.338259190,-83.051675483,183.4,,,
T,42.338275396,-83.051686995,183.4,,,
T,42.338290748,-83.051696684,183.5,,,
T,42.338307990,-83.051709312,183.5,,,
T,42.338324590,-83.051720350,183.5,,,
T,42.338338213,-83.051729854,183.5,,,
T,42.338353592,-83.051740688,183.5,,,
T,42.338370046,-83.051752334,183.5,,,
T,42.338383956,-83.051762214,183.5,,,
T,42.338398106,-83.051772110,183.5,,,
T,42.338413394,-83.051783365,183.6,,,
T,42.338427140,-83.051792860,183.6,,,
T,42.338443333,-83.051804213,183.6,,,
T,42.338456651,-83.051813280,183.6,,,
T,42.338470724,-83.051823110,183.6,,,
T,42.338484911,-83.051833088,183.6,,,
T,42.338500762,-83.051844171,183.6,,,
T,42.338516296,-83.051855045,183.6,,,
T,42.338529417,-83.051864067,183.7,,,
T,42.338541961,-83.051872455,183.7,,,
T,42.338556773,-83.051882096,183.7,,,
T,42.338569926,-83.051892082,183.7,,,
T,42.338582711,-83.051902243,183.7,,,
T,42.338591155,-83.051909008,183.7,,,
