start_x,end_x,start_v,end_v,accel,inc,gravity,step_time
810942.619999997,810943.258918353,29.4042606136178,29.4259813590829,1,-0.0263274,9.7928557,0.0217207454650961
810943.258918353,811471.829999997,29.4259813590829,29.4259813590829,0,-0.0263274,9.7928557,17.9627341971725
811471.829999997,811998.87688615,29.4259813590829,29.4259813590829,0,-0.0263274,9.7928557,17.9109365877049
811998.87688615,811999.739999997,29.4259813590829,29.4113118561312,-0.5,-0.2743129,9.7928527,0.0293390059033385
811999.739999997,812526.566966903,29.4113118561312,29.4113118561312,0,-0.2743129,9.7928527,17.9123926699858
812526.566966903,812526.799999997,29.4113118561312,29.4073499656941,-0.5,-0.6199219,9.7928495,0.00792378087415102
812526.799999997,812528.247645884,29.4073499656941,29.4565361809411,1,-0.644917,9.7928463,0.049186215246948
812528.247645884,813052.019999997,29.4565361809411,29.4565361809411,0,-0.644917,9.7928463,17.7811929717638
813052.019999997,813581.520429502,29.4565361809411,29.4565361809411,0,-0.3177992,9.7928431,17.9756515244183
813581.520429502,813585.509999997,29.4565361809411,29.3887385452972,-0.5,-0.1497766,9.7928399,0.135595271287805
813585.509999997,813586.104174665,29.3887385452972,29.4089493627249,1,-0.1497766,9.7928399,0.0202108174277065
813586.104174665,814113.019999997,29.4089493627249,29.4089493627249,0,-0.1497766,9.7928399,17.9168530923414
814113.019999997,814637.770523649,29.4089493627249,29.4089493627249,0,-0.0864306,9.7928366,17.8432257874897
814637.770523649,814639.189999997,29.4089493627249,29.384806044476,-0.5,-0.0864306,9.7928366,0.0482866364977781
814639.189999997,814639.328310419,29.384806044476,29.38951253618,1,0.0972194,9.7928333,0.00470649170398119
814639.328310419,815165.039999997,29.38951253618,29.38951253618,0,0.0972194,9.7928333,17.8877308336278
815165.039999997,815688.118057542,29.38951253618,29.38951253618,0,-0.0959818,9.7928299,17.7981195469405
815688.118057542,815689.489999997,29.38951253618,29.3661625797306,-0.5,-0.0403305,9.7928266,0.0466999128988164
815689.489999997,815689.909318344,29.3661625797306,29.3804380728367,1,-0.0403305,9.7928266,0.0142754931060978
815689.909318344,816214.269999997,29.3804380728367,29.3804380728367,0,-0.0403305,9.7928266,17.8472724046372
816214.269999997,816738.643329795,29.3804380728367,29.3804380728367,0,0.3058592,9.7928233,17.8477029000496
816738.643329795,816740.619999997,29.3804380728367,29.3467795703245,-0.5,0.3058592,9.7928233,0.0673170050242859
816740.619999997,816741.234018674,29.3467795703245,29.3676949810769,1,-0.12907,9.79282,0.0209154107523979
816741.234018674,817271.849999997,29.3676949810769,29.3676949810769,0,-0.12907,9.79282,18.0680159496911
817271.849999997,817272.925080849,29.3676949810769,29.4042797940072,1,-0.5906871,9.7928167,0.0365848129302933
817272.925080849,817799.069999998,29.4042797940072,29.4042797940072,0,-0.5906871,9.7928167,17.8934809094053
817799.069999998,817799.096797787,29.4042797940072,29.4051911366471,1,-0.5906871,9.7928167,0.000911342639899004
817799.096797787,818323.509999997,29.4051911366471,29.4051911366471,0,-0.5906871,9.7928167,17.8340348060895
818323.509999997,818325.439996989,29.4051911366471,29.4707526162092,1,-0.4396906,9.7928135,0.0655614795620743
818325.439996989,818847.409999997,29.4707526162092,29.4707526162092,0,-0.4396906,9.7928135,17.711458197416
818847.409999997,819367.517351449,29.4707526162092,29.4707526162092,0,-0.2627738,9.7928104,17.6482548044978
819367.517351449,819371.149999998,29.4707526162092,29.4090566189496,-0.5,-0.018455,9.7928073,0.123391994519068
